Flight	Flight Time	Entry	Data
3	0	10810	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.299124 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -115.671 ] degreesGroundspeed: [ 0.402299 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
36865	0	58156	
24577	0	58364	
45057	0	58437	
40961	0	58509	
61441	0	58582	
16385	0	58656	
36865	0	58729	
57345	0	58802	
12289	0	58876	
3	0	10811	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.299124 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -115.671 ] degreesGroundspeed: [ 0.402299 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
32769	0	58949	
8193	0	59147	
28673	0	59220	
49153	0	59293	
4097	0	59367	
24577	0	59440	
45057	0	59513	
20481	0	59586	
40961	0	59659	
3	0	10812	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.299124 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -115.671 ] degreesGroundspeed: [ 0.402299 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
4097	0	59733	
57345	0	59940	
12289	0	60014	
16385	0	60087	
36865	0	60160	
57345	0	60233	
12289	0	60307	
40961	0	60380	
4097	0	60454	
